CRN/Class, Course ID, Course Name, Units, Type, Days, Hours, Room, Dates, Instructor, Capacity, Enrolled, Available, Type2, Days2, Hours2, Room2, Dates2, Type3, Days3, Hours3, Room3, Dates3

Anthropology
10252,ANTH-003-01,Anthropological Archaeology,4,LECT,TR,1:30-2:45pm,CLSSRM 120,16-JAN 04-MAY,Hull,90,6,84,EXAM,M,11:30-2:30pm,CLSSRM 120,07-MAY 07-MAY
10253,ANTH-003-02D,Anthropological Archaeology,0,DISC,F,1:30-2:20pm,SSM 107,16-JAN 04-MAY,Staff,15,1,14
10254,ANTH-003-03D,Anthropological Archaeology,0,DISC,F,8:30-9:20am,SSM 107,16-JAN 04-MAY,Staff,15,1,14
10255,ANTH-003-04D,Anthropological Archaeology,0,DISC,F,9:30-10:20am,SSM 107,16-JAN 04-MAY,Staff,15,0,15
14052,ANTH-003-05D,Anthropological Archaeology,0,DISC,F,10:30-11:20am,SSM 107,16-JAN 04-MAY,Staff,15,1,14
10793,ANTH-003-06D,Anthropological Archaeology,0,DISC,F,11:30-12:20pm,SSM 107,16-JAN 04-MAY,Staff,15,1,14
10794,ANTH-003-07D,Anthropological Archaeology,0,DISC,F,12:30-1:20pm,SSM 107,16-JAN 04-MAY,Staff,15,2,13
15677,ANTH-124-01,Ethnopsychology,4,LECT,TR,6:00-7:15pm,CLSSRM 265,16-JAN 04-MAY,Rebhun,45,24,21,EXAM,W,11:30-2:30pm,CLSSRM 265,09-MAY 09-MAY
15678,ANTH-142-01,Archaeology of Colonialism,4,LECT,TR,9:00-10:15am,CLSSRM 110,16-JAN 04-MAY,Hull,45,11,34,EXAM,T,3:00-6:00pm,CLSSRM 110,08-MAY 08-MAY
14784,ANTH-151-01,Human Adaptability,4,LECT,MW,4:30-5:45pm,CLSSRM 110,16-JAN 04-MAY,Staff,50,14,36,EXAM,F,3:00-6:00pm,CLSSRM 110,11-MAY 11-MAY
13771,ANTH-170-01,Ethnographic Methods,4,LECT,TR,12:00-1:15pm,CLSSRM 267,16-JAN 04-MAY,DeLugan,30,9,21,EXAM,R,8:00-11:00am,CLSSRM 267,10-MAY 10-MAY
14250,ANTH-170-02D,Ethnographic Methods,0,DISC,W,7:30-8:20pm,CLSSRM 274,16-JAN 04-MAY,Staff,15,9,6
14251,ANTH-170-03D,Ethnographic Methods,0,DISC,W,8:30-9:20pm,CLSSRM 274,16-JAN 04-MAY,Staff,15,0,15
15829,ANTH-178-01,Human Osteology,4,LECT,MW,1:30-2:45pm,SSM 107,16-JAN 04-MAY,Torres-Rouff,18,5,13
15741,ANTH-178-02L,Human Osteology,0,LAB,MW,3:00-4:15pm,SSM 107,16-JAN 04-MAY,Torres-Rouff,18,5,13
14073,ANTH-190-01,Peopling the New World,4,LECT,TR,3:00-4:15pm,CLSSRM 267,16-JAN 04-MAY,Aldenderfer,45,5,40,EXAM,M,6:30-9:30pm,CLSSRM 267,07-MAY 07-MAY
15679,ANTH-190-02,Primatology,4,LECT,MW,6:00-7:15pm,CLSSRM 263,16-JAN 04-MAY,Staff,45,6,39,EXAM,R,3:00-6:00pm,CLSSRM 263,10-MAY 10-MAY
15836,ANTH-190-03,Global Development & Culture,4,LECT,MW,7:30-8:45pm,COB2 262,16-JAN 04-MAY,Staff,22,3,19,EXAM,R,11:30-2:30pm,COB2 262,10-MAY 10-MAY
Bio Engin Small Scale Tech
